id,cat,name,price,badge,desc,img
1,可爱,萌趣针织小毛衣,¥29,hot,柔软亲肤针织面料秋冬保暖首选,https://cbu01.alicdn.com/img/ibank/O1CN01mjbwM71PpfDm9I4w4_!!2210157861890-0-cib.jpg
2,可爱,甜心印花连身装,¥35,new,甜美印花图案一体式穿脱设计,https://cbu01.alicdn.com/img/ibank/O1CN01Ql4oGf1vGSg4kIvju_!!2210898346145-0-cib.jpg
3,潮流,街头潮流卫衣,¥118,hot,潮流街头风设计厚实棉质面料,https://cbu01.alicdn.com/img/ibank/O1CN017Pmy6U21uCxLC17zR_!!2815757044-0-cib.jpg
4,潮流,酷帅印花T恤,¥78,,时尚印花图案轻薄透气,https://cbu01.alicdn.com/img/ibank/O1CN01wZ4le925gFJV3eLZY_!!3085457555-0-cib.jpg
5,优雅,公主蕾丝裙,¥84,hot,精致蕾丝工艺层叠裙摆设计,https://cbu01.alicdn.com/img/ibank/O1CN01QEulr71Ye48yk0cMb_!!2909243083-0-cib.jpg
6,优雅,绅士格纹西装,¥53,new,经典格纹面料翻领设计,https://cbu01.alicdn.com/img/ibank/O1CN01m0Vs191kaCFAeWANw_!!2218430824699-0-cib.jpg
7,户外,防风冲锋外套,¥93,hot,防水防风面料户外遛弯必备,https://cbu01.alicdn.com/img/ibank/O1CN01rFOWlP26w6eMBwpAZ_!!2207603667725-0-cib.jpg
8,户外,活力运动背心,¥169,,透气网眼面料多色可选,https://cbu01.alicdn.com/img/ibank/O1CN011roMp62APMnYHuUHX_!!2743028195-0-cib.jpg
9,节日,节日喜庆套装,¥33,hot,节日限定设计喜庆配色,https://cbu01.alicdn.com/img/ibank/O1CN017dp3Jk20cy9bv2PKo_!!2201282426871-0-cib.jpg
10,节日,可爱主题派对装,¥57,new,派对主题设计精致做工,https://cbu01.alicdn.com/img/ibank/O1CN012I2SE01tecaZo23Jh_!!2207588245927-0-cib.jpg
